,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0,1283.09,1718.04,3047.84,885.38,2991.47,507.57,461.82,671.36,1090.65,3608.09,2172.96,2517.83,2221.69,1016.36,2286.77,1741.77,1636.65,488.7,1284.4,1516.05,1320.2,1654.27,3601.49,3363.43,1977.63,1048.87,3374.78,3233.47
1,1208.46,0,1072.93,2402.73,1110.04,2346.36,1386.4,1065.41,1477.34,477.7,2962.98,1369.79,1872.72,1576.58,1739.58,1483.6,1886.85,1781.73,693.25,481.23,712.88,659,1559.3,2956.38,2718.32,1332.52,524.01,2729.67,2588.36
2,2190.91,795.25,0,1660.23,1546.34,1603.86,1890.95,1569.96,1913.64,982.25,2220.48,1271.52,1130.22,834.08,2244.13,1594.5,2386.69,2281.57,1450.77,985.78,1237.28,1191.01,2031.18,2213.88,1975.82,554.46,1028.56,1987.17,1845.86
3,3121.75,1912.34,1714.23,0,2761.25,2468.3,3001.7,2680.71,3128.55,2093,1670.48,1276.57,1994.66,1398.28,2377.67,1301.46,2391.74,2286.62,2546.78,1894.2,1581.69,1760.98,2036.23,1813.81,2191.01,1973.82,1935.19,1587.1,435.53
4,962.13,1222.8,1375,2902.38,0,2846.01,1345.37,1019.23,610.29,932.3,3462.63,2513.67,2372.37,2076.23,1864.77,2142.33,2341.45,2236.33,678.95,1139.96,1371.61,1317.73,2218.03,3456.03,3217.97,1649.94,978.61,3229.32,3088.01
5,3154.8,1759.14,964.09,1915.94,2510.23,0,2854.84,2533.85,2877.53,1946.14,2122.74,2235.41,244.81,1055.54,3208.02,2558.39,3350.58,3245.46,2414.66,1949.67,2201.17,2154.9,2995.07,1510.71,1283.29,902.59,1992.45,1284,2082.96
6,596.33,1434.39,2237.57,3293.96,1412.39,3237.59,0,751.67,1198.37,1063.56,3854.21,2149.73,2763.95,2467.81,872.61,2263.54,1598.02,1492.9,1109.62,1261.17,1492.82,1293.11,1627.18,3847.61,3609.55,2497.16,1021.78,3620.9,3479.59
7,585.12,1058.77,1527.98,2857.78,800.89,2801.41,960.85,0,749.81,687.94,3418.03,1571.21,2327.77,2031.63,1480.25,1685.02,1699.7,1594.58,298.64,885.55,1117.2,917.49,1374.96,3411.43,3173.37,1787.57,646.16,3184.72,3043.41
8,724.45,1559.02,1711.22,3238.6,474.59,3182.23,1107.69,781.55,0,1145.85,3798.85,2849.89,2708.59,2412.45,1627.09,2355.88,2107.49,2002.37,557.81,1353.51,1585.16,1531.28,1782.75,3792.25,3554.19,1986.16,1192.16,3565.54,3424.23
9,1178.96,531.38,1334.56,2262.61,1380.29,2334.58,1058.91,737.92,1747.59,0,2822.86,1070.84,1860.94,1443.75,1412.09,1184.65,1615.86,1510.74,603.99,324.16,413.93,236.36,1260.35,2816.26,2578.2,1594.15,53.12,2589.55,2448.24
10,3677.01,2467.6,1930.84,776.06,3316.51,2166.15,3556.96,3235.97,3683.81,2648.26,0,1831.83,1701.68,1309.15,2932.93,1856.72,2947,2841.88,3102.04,2449.46,2136.95,2316.24,2591.49,1325.28,1339.83,1869.34,2490.45,1098.57,485.47
11,1978.09,1051.42,1824.71,1690.21,1900.33,2473.96,1858.04,1334.32,2267.63,949.34,2250.46,0,2000.32,1439.01,1091.01,534,1105.08,999.96,1200.39,747.71,538.97,649.18,749.57,2811.52,2573.46,2114.19,823.39,2584.81,1875.84
12,3024.66,1951.35,833.95,1664.67,2380.09,1011.13,3040.71,2719.72,2747.39,2132.01,1871.47,1879.84,0,804.27,3174.68,2202.82,2995.01,2889.89,2284.52,1933.21,1854.45,1808.18,2639.5,1259.44,1032.02,772.45,1959.73,1032.73,1831.69
13,2478.57,1269.16,840.06,1586.36,2118.07,1192.72,2358.52,2037.53,2485.37,1449.82,2083.98,1197.65,719.08,0,2492.49,1520.63,2312.82,2207.7,1903.6,1251.02,1172.26,1125.99,1957.31,1471.95,1239.8,886.74,1277.54,1245.24,1771.99
14,1062.15,1745.17,2548.35,2689.36,1893.42,3548.37,819.27,1225.98,1679.4,1374.34,3249.61,1419.34,3074.73,2470.05,0,1533.15,891.8,786.68,1420.4,1571.95,1387.94,1603.89,898.2,3842.56,3604.5,2807.94,1332.56,3615.85,2874.99
15,2216.1,1427.15,1867.08,1489.61,2276.06,2621.15,2089.18,1729.81,2643.36,1607.81,2049.86,684.34,2147.51,1551.13,1451.79,0,1465.86,1360.74,1595.88,1409.01,899.75,1009.96,1110.35,2581.92,2343.86,2126.67,1184.17,2355.21,1675.24
16,1493.46,1618.29,2391.58,2252.46,2467.2,3040.83,1250.58,1339.68,1873.57,1150.01,2812.71,982.44,2567.19,2005.88,508.11,1096.25,0,340.21,1196.07,1159.78,951.04,1061.25,461.3,3378.39,3140.33,2681.06,1108.23,3151.68,2438.09
17,1575.62,1700.45,2473.74,2334.62,2549.36,3122.99,1332.74,1421.84,1955.73,1232.17,2894.87,1064.6,2649.35,2088.04,590.27,1178.41,137.64,0,1278.23,1241.94,1033.2,1143.41,543.46,3460.55,3222.49,2763.22,1190.39,3233.84,2520.25
18,974.08,816.87,1251.82,2581.62,851.01,2525.25,1132.26,421.61,1192.93,610.52,3141.87,1706.74,2051.61,1755.47,1485.44,1820.55,1632.71,1527.59,0,818.18,1049.83,995.95,1307.97,3135.27,2897.21,1511.41,656.83,2908.56,2767.25
19,1400.16,694.56,1497.74,2110.2,1543.47,2326.29,1280.11,959.12,1910.77,371.41,2670.45,918.43,1852.65,1291.34,1633.29,1032.24,1463.45,1358.33,825.19,0,261.52,207.64,1107.94,2663.85,2425.79,1757.33,258.02,2437.14,2295.83
20,1605.09,729.93,1503.22,1936.38,1578.84,2152.47,1485.04,1164.05,1946.14,576.34,2496.63,812.56,1678.83,1117.52,1343.51,926.37,1357.58,1252.46,1030.12,374.71,0,276.18,1002.07,2490.03,2251.97,1792.7,450.39,2263.32,2122.01
21,1489.1,647.4,1450.58,2065.41,1496.31,2281.5,1369.05,1048.06,1863.61,460.35,2625.66,804.23,1807.86,1246.55,1335.18,918.04,1349.25,1244.13,914.13,258.72,216.73,0,993.74,2619.06,2381,1710.17,334.4,2392.35,2251.04
22,1475.05,1534.43,2307.72,2168.6,2383.34,2956.97,1348.13,1255.82,1789.71,1066.15,2728.85,898.58,2483.33,1922.02,677.78,1012.39,692.57,587.45,1112.21,1075.92,867.18,977.39,0,3294.53,3056.47,2597.2,1024.37,3067.82,2354.23
23,3517.11,2307.7,1757.61,977.2,3156.61,2002.09,3397.06,3076.07,3523.91,2488.36,695.72,1671.93,1528.45,1135.92,2773.03,1715.55,2787.1,2681.98,2942.14,2289.56,1977.05,2156.34,2431.59,0,1161.06,1696.11,2330.55,919.8,829.6
24,3520.47,2308.83,1513.78,1733.18,3059.92,1199.72,3400.42,3079.43,3427.22,2491.72,1366.09,1893.82,794.5,1163.98,2994.92,2208.84,3008.99,2903.87,2945.5,2292.92,2198.94,2167.89,2653.48,754.06,0,1452.28,2319.44,527.35,1492.23
25,2140.63,1227.92,368.76,2023.35,1496.06,1966.98,2323.62,1727.83,1863.36,1414.92,2583.6,1634.64,1493.34,1197.2,2676.8,1957.62,2749.81,2644.69,1400.49,1418.45,1600.4,1554.13,2394.3,2577,2338.94,0,1461.23,2350.29,2208.98
26,1215.81,570.18,1373.36,2305.47,1419.09,2373.38,1095.76,774.77,1231.77,189.64,2865.72,1052.36,1899.74,1486.61,1448.94,1166.17,1441.2,1336.08,640.84,396.96,456.79,279.22,1241.87,2859.12,2621.06,1632.95,0,2632.41,2491.1
27,4100.33,2890.92,2622.76,1199.38,3739.83,2308.7,3980.28,3659.29,4107.13,3071.58,782.65,2255.15,1903.48,2121.36,3356.25,2280.04,3370.32,3265.2,3525.36,2872.78,2560.27,2739.56,3014.81,944.37,1202.94,2561.26,2913.77,0,908.79
28,3237.58,2028.17,1830.06,336.63,2877.08,2584.13,3117.53,2796.54,3244.38,2208.83,1766.95,1392.4,2110.49,1514.11,2493.5,1417.29,2507.57,2402.45,2662.61,2010.03,1697.52,1876.81,2152.06,1910.28,2306.84,2089.65,2051.02,1683.57,0
